FCsp3	LogP	MW	NP_Like	NumAtBridgehead	NumAtHal	NumAtN	NumAtOx	NumHA	NumHAcc	NumHDon	NumRings	NumRingsAli	NumRingsArom	NumRotBd	QED	TPSA	nSPS	fr_Al_COO	fr_Al_OH	fr_Al_OH_noTert	fr_ArN	fr_Ar_COO	fr_Ar_N	fr_Ar_NH	fr_Ar_OH	fr_COO	fr_COO2	fr_C_O	fr_C_O_noCOO	fr_C_S	fr_HOCCN	fr_Imine	fr_NH0	fr_NH1	fr_NH2	fr_N_O	fr_Ndealkylation1	fr_Ndealkylation2	fr_Nhpyrrole	fr_SH	fr_aldehyde	fr_alkyl_carbamate	fr_alkyl_halide	fr_allylic_oxid	fr_amide	fr_amidine	fr_aniline	fr_aryl_methyl	fr_azide	fr_azo	fr_barbitur	fr_benzene	fr_benzodiazepine	fr_bicyclic	fr_diazo	fr_dihydropyridine	fr_epoxide	fr_ester	fr_ether	fr_furan	fr_guanido	fr_halogen	fr_hdrzine	fr_hdrzone	fr_imidazole	fr_imide	fr_isocyan	fr_isothiocyan	fr_ketone	fr_ketone_Topliss	fr_lactam	fr_lactone	fr_methoxy	fr_morpholine	fr_nitrile	fr_nitro	fr_nitro_arom	fr_nitro_arom_nonortho	fr_nitroso	fr_oxazole	fr_oxime	fr_para_hydroxylation	fr_phenol	fr_phenol_noOrthoHbond	fr_phos_acid	fr_phos_ester	fr_piperdine	fr_piperzine	fr_priamide	fr_prisulfonamd	fr_pyridine	fr_quatN	fr_sulfide	fr_sulfonamd	fr_sulfone	fr_term_acetylene	fr_tetrazole	fr_thiazole	fr_thiocyan	fr_thiophene	fr_unbrch_alkane	fr_urea	Dataset	Compound_Id	Value_Sel	Solub_Class	Smiles	InChIKey	Murcko_NumHA	Murcko_Smiles	Murcko_InChIKey
0.5	0.3709993468321359	0.2803984396767902	0.1651376146788991	0.0	0.0	0.4	0.13333333333333333	0.2727272727272727	0.3157894736842105	0.18181818181818182	0.16666666666666666	0.0	0.25	0.21739130434782608	0.769832402234637	0.31721832163156133	0.09568835098335855	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Holdback	EOS57052	16057.6	1	Cc1nsc(NCCNS(C)(=O)=O)c1C#N	XMVQSDMDMJRAQF-UHFFFAOYSA-N	5	c1cnsc1	ZLTPDFXIESTBQG-UHFFFAOYSA-N
0.692	0.5976485956890922	0.2845221510169964	0.3918741808650065	0.0	0.3333333333333333	0.1	0.06666666666666667	0.31818181818181823	0.10526315789473684	0.09090909090909091	0.16666666666666666	0.0	0.25	0.17391304347826086	0.922905027932961	0.0841190237378803	0.1565809379727685	0.0	0.125	0.125	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Holdback	EOS97786	124659.2	0	Cc1cc(C(O)C(F)(F)F)c(C)n1CCC(C)C	WSVSIIXHQCSQFY-UHFFFAOYSA-N	5	c1cc[nH]c1	KAESVJOAVNADME-UHFFFAOYSA-N
0.5	0.5212279555845853	0.27874059626636943	0.3289646133682831	0.0	0.1111111111111111	0.2	0.06666666666666667	0.22727272727272727	0.15789473684210525	0.09090909090909091	0.16666666666666666	0.0	0.25	0.13043478260869565	0.9340782122905029	0.11377465730524908	0.08774583963691378	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.0	0.125	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Holdback	EOS43424	-15593.0	1	CCNC(=O)c1cc(Br)cn1C(C)C	NFEYIEDLMRUAJA-UHFFFAOYSA-N	5	c1cc[nH]c1	KAESVJOAVNADME-UHFFFAOYSA-N
0.583	0.42064010450685835	0.3276678740596266	0.309305373525557	0.0	0.3333333333333333	0.2	0.2	0.36363636363636365	0.2631578947368421	0.09090909090909091	0.16666666666666666	0.0	0.25	0.2608695652173913	0.8938547486033521	0.18288197927114677	0.13804841149773067	0.0	0.125	0.125	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.16666666666666666	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Holdback	EOS88111	-7072.5	1	COCCN(CC(O)C(F)(F)F)C(=O)c1cccn1C	JMFNDLWBOAIWGW-UHFFFAOYSA-N	5	c1cc[nH]c1	KAESVJOAVNADME-UHFFFAOYSA-N
0.5	0.3657740039190073	0.2036361103371413	0.1730013106159895	0.0	0.0	0.30000000000000004	0.2	0.20454545454545456	0.3157894736842105	0.09090909090909091	0.16666666666666666	0.0	0.25	0.13043478260869565	0.7944134078212292	0.2522233366766967	0.113464447806354	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Holdback	EOS15081	33668.8	1	Cc1cc(NS(=O)(=O)N(C)C)no1	QSZAGAIKVGQZBL-UHFFFAOYSA-N	5	c1cnoc1	CTAPFRYPJLPFDF-UHFFFAOYSA-N
0.6	0.4787720444154148	0.34655893006408467	0.24770642201834864	0.0	0.1111111111111111	0.30000000000000004	0.13333333333333333	0.31818181818181823	0.2631578947368421	0.0	0.16666666666666666	0.0	0.25	0.21739130434782608	0.8692737430167599	0.24760949515212302	0.13350983358547652	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Holdback	EOS46877	-9479.2	1	CCS(=O)(=O)CC(C)N(C)c1snc(Cl)c1C#N	DKSKMTGJZBJPBM-UHFFFAOYSA-N	5	c1cnsc1	ZLTPDFXIESTBQG-UHFFFAOYSA-N
0.556	0.43566296538210325	0.21624407913067706	0.14678899082568808	0.0	0.0	0.2	0.13333333333333333	0.22727272727272727	0.21052631578947367	0.09090909090909091	0.16666666666666666	0.0	0.25	0.17391304347826086	0.8569832402234637	0.18431962554329656	0.07961422087745841	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.0	0.125	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Holdback	EOS81488	-4540.6	1	CNC(=O)CSCc1c(C)noc1C	VQCDVBFUTQPZQB-UHFFFAOYSA-N	5	c1cnoc1	CTAPFRYPJLPFDF-UHFFFAOYSA-N
0.545	0.394513389941215	0.231568682084146	0.3106159895150721	0.0	0.0	0.30000000000000004	0.13333333333333333	0.2727272727272727	0.2631578947368421	0.09090909090909091	0.16666666666666666	0.0	0.25	0.2608695652173913	0.5787709497206704	0.15546639919759275	0.08982602118003023	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.0	0.25	0.2	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Holdback	EOS88119	-2418.4	1	CON(C)CCCNC(=O)c1cccn1C	ISFDACKQMDYEJI-UHFFFAOYSA-N	5	c1cc[nH]c1	KAESVJOAVNADME-UHFFFAOYSA-N
0.556	0.44415414761593736	0.21624407913067706	0.22673656618610744	0.0	0.0	0.2	0.13333333333333333	0.22727272727272727	0.21052631578947367	0.18181818181818182	0.16666666666666666	0.0	0.25	0.17391304347826086	0.8592178770949721	0.23109327983951855	0.1284039334341906	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Holdback	EOS43457	-15025.0	1	Cc1noc(C)c1CSC(C)C(N)=O	IBYBRDXDRMGWCR-UHFFFAOYSA-N	5	c1cnoc1	CTAPFRYPJLPFDF-UHFFFAOYSA-N
0.556	0.41541476159372964	0.21478127612148235	0.3197903014416776	0.0	0.0	0.30000000000000004	0.2	0.25	0.3157894736842105	0.2727272727272727	0.16666666666666666	0.0	0.25	0.21739130434782608	0.699441340782123	0.2921765295887663	0.11592284417549169	0.0	0.125	0.125	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.0	0.125	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	Holdback	EOS88062	-8595.3	1	CCC(CCO)NC(=O)Nc1ccon1	RGMPJHNBOXEVOU-UHFFFAOYSA-N	5	c1cnoc1	CTAPFRYPJLPFDF-UHFFFAOYSA-N
